model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон TECNO Camon 30 Premier 5G 12/512GB Silver RU	49 999	57 999			TECNO	Серебристый	Апрель 2024 г.	Китай	210 г	6.7 ''	AMOLED	120 Гц	512 ГБ	12 ГБ	5000	8-ядерный MediaTek Dimensity 8200 3.00 ГГц	50 Mpix	Три модуля (50 + 50 + 50 Mpix)
Смартфон TECNO Spark 20 8/128GB Белый RU	12 499	13 999	3.0	1	TECNO	Белый	Декабрь 2023 г.	Китай	190 г	6.56 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон Xiaomi Redmi 13 8/256GB, Pink RU	17 999	19 999			Xiaomi	Розовый	Июнь 2024 г.	Китай	205 г	6.79 ''	IPS LCD	90 Гц	256 ГБ	8 ГБ	5030	8-ядерный MediaTek Helio G91 Ultra 2.00 ГГц	13 Mpix	Два модуля (108 + 2 Mpix)
Смартфон HONOR Magic6 Pro Графитовый черный EAC	109 999	129 999	5.0	16	HONOR	Черный	Апрель 2024 г.	Китай	229 г	6.8 ''	OLED		512 ГБ	12 ГБ	5600	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	50 Mpix	Три модуля (180 + 50 + 50 Mpix)
Смартфон realme C61 6/128, Gold RU	9 999	11 499	5.0	5	realme	Золотистый	Июль 2024 г.	Китай	187 г	6.74 ''	IPS	90 Гц	128 ГБ	6 ГБ	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	5 Mpix	50 Mpix
Смартфон HUAWEI nova Y91 128GB Лунное серебро EAC	14 999		5.0	1	HUAWEI	Серебристый	Февраль 2024 г.	Китай	214 г	6.95 ''	IPS		128 ГБ	8 ГБ	7000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8 Mpix	Два модуля (50 + 2 Mpix)
Смартфон Xiaomi Redmi Note 12 6/128GB Gold RU	13 999	22 990	3.3	3	Xiaomi	Золотистый	Декабрь 2023 г.	Китай	186 г	6.67 ''	AMOLED	120 Гц	128 ГБ	6 ГБ	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	13 Mpix	Три модуля (50 + 8 + 2 Mpix)
Смартфон HONOR X9a 8/256GB Полночный черный EAC	26 999		5.0	10	HONOR	Черный	Июль 2023 г.	Китай	175 г	6.67 ''	OLED		256 ГБ	8 ГБ	5100	8-ядерный Qualcomm Snapdragon 695 2.20 ГГц	16 Mpix	Три модуля (64 + 5 + 2 Mpix)
Смартфон Xiaomi Redmi Note 13 8/128GB Ice Blue  RU	18 999	24 999	5.0	2	Xiaomi	Голубой	Январь 2024 г.	Китай	188 г	6.67 ''	AMOLED	120 Гц	128 ГБ	8 ГБ	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16 Mpix	Три модуля (108 + 8 + 2 Mpix)
Смартфон Samsung Galaxy A35 8/256GB Лавандовый EAC	33 999	38 999	5.0	1	Samsung	Фиолетовый	Март 2024 г.		209 г	6.6 ''	Super AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный Samsung Exynos 1380 2.40 ГГц	13 Mpix	Три модуля (50 + 8 + 5 Mpix)
