model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон Samsung Galaxy S23 FE 128GB Бежевый EAC	50 999				Samsung	Бежевый	Октябрь 2023 г.	Вьетнам	209 г	6.4 ''	Dynamic AMOLED 2X		128 ГБ	8 ГБ	4500	8-ядерный Samsung Exynos 2200 2.50 ГГц	10 Mpix	Три модуля (50 + 12 + 8 Mpix)
Смартфон HONOR 90 256GB Изумрудно-зеленый EAC	36 999	40 999	4.5	10	HONOR	Зеленый		Китай	183 г	6.7 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный Qualcomm Snapdragon 7 Gen 1 2.50 ГГц	50 Mpix	Три модуля (200 + 12 + 2 Mpix)
Смартфон Poco X6 5G 12/256GB Black RU	29 999	34 999			Poco	Черный	Январь	Китай	181 г	6.67 ''	AMOLED	120 Гц	256 ГБ	12 ГБ	5000	8-ядерный Qualcomm Snapdragon 7s Gen 2 7s Gen2 2.40 ГГц	16 Mpix	Три модуля (64 + 8 + 2 Mpix)
Смартфон Samsung Galaxy A34 128GB Фиолетовый RU	23 499		5.0	3	Samsung	Фиолетовый	Март 2023 г.		199 г	6.6 ''	Super AMOLED	120 Гц	128 ГБ	6 ГБ	5000	8-ядерный Samsung Dimensity 1080 2.60 ГГц	13 Mpix	Три модуля (48 + 8 + 5 Mpix)
Смартфон HONOR X8b 8/256GB Серебристый EAC	22 999	25 999	5.0	23	HONOR	Серебристый	Июнь 2024 г.	Китай	166 г	6.7 ''	AMOLED		256 ГБ	8 ГБ	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	50 Mpix	Три модуля (108 + 5 + 2 Mpix)
Смартфон HONOR X6 64GB Синий EAC	13 999		5.0	1	HONOR	Синий		Китай	194 г	6.5 ''	IPS		64 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G25 2.00 ГГц	5 Mpix	Три модуля (50 + 2 + 2 Mpix)
Смартфон Xiaomi Redmi Note 12s 8/256GB Ice Blue RU	16 999				Xiaomi	Синий	Май 2023 г.	Китай	179 г	6.43 ''	AMOLED	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G96 2.05 ГГц	16 Mpix	Три модуля (108 + 8 + 2 Mpix)
Смартфон TECNO Camon 19 128GB Морская соль RU	9 999		5.0	14	TECNO	Серебристый	Июль 2022 г.	Китай	205 г	6.8 ''	Full HD+		128 ГБ	6 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	16 Mpix	Три модуля (64 + 50 + 2 Mpix)
Смартфон TECNO Pova 6 Neo 8/256GB Speed Black RU	18 999	20 999	5.0	2	TECNO	Черный	Март 2024 г.	Китай	206 г	6.8 ''	Full HD+	120 Гц	256 ГБ	8 ГБ	7000	8-ядерный MediaTek G99 Ultimate 2.20 ГГц	8 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон TECNO Spark 10 Pro 256GB Черный RU	14 999	16 990	5.0	7	TECNO	Черный	Май 2023 г.	Китай	205 г	6.78 ''	IPS	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон Infinix HOT 40 8/256 Черный RU	14 999	16 999			Infinix	Черный	Декабрь 2023 г.	Китай	197 г	6.78 ''	IPS	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32 Mpix	Три модуля (50 + 2 + 0.20 Mpix)
Смартфон HONOR X8 128GB Полночный черный RU	13 999		4.8	25	HONOR	Черный	Апрель 2022 г.	Китай	177 г	6.7 ''	LTPS		128 ГБ	6 ГБ	4000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16 Mpix	Четыре модуля (64 + 5 + 2 + 2 Mpix)
Смартфон Samsung Galaxy A35 8/128GB Лавандовый EAC	29 999	34 999	5.0	1	Samsung	Фиолетовый	Март 2024 г.		209 г	6.6 ''	Super AMOLED	120 Гц	128 ГБ	8 ГБ	5000	8-ядерный Samsung Exynos 1380 2.40 ГГц	13 Mpix	Три модуля (50 + 8 + 5 Mpix)
Смартфон TECNO Camon 30 5G 8/256GB Basaltic Dark RU	22 999	30 999			TECNO	Черный	Апрель 2024 г.	Китай	197.5 г	6.8 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	50 Mpix	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy S24+ 12/512GB Серый EAC	105 999		5.0	3	Samsung	Серый	Январь 2024 г.		197 г	6.7 ''	Dynamic AMOLED 2X	120 Гц	512 ГБ	12 ГБ	4900	10-ядерный Exynos 2400 3.30 ГГц	12 Mpix	Три модуля (50 + 12 + 10 Mpix)
Смартфон Infinix Note 30 8/256 Синий RU	15 999	23 999	5.0	3	Infinix	Синий	Июль 2023 г.	Китай	219 г	6.78 ''	IPS	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16 Mpix	Три модуля (64 + 2 + 0.30 Mpix)
Смартфон realme C33 128GB Черный RU	7 399		5.0	2	realme	Черный	Октябрь 2022 г.	Китай	187 г	6.5 ''	IPS LCD		128 ГБ	4 ГБ	5000	8-ядерный Unisoc T612 1.82 ГГц	5 Mpix	Два модуля (50 + 2 Mpix)
Смартфон Itel A70 4/256GB Black RU	8 499		5.0	1	Itel	Черный	Февраль 2024 г.	Китай	195 г	6.6 ''	IPS		256 ГБ	4 ГБ	5000	8-ядерный Unisoc T603 1.60 ГГц	8 Mpix	Два модуля (13 + 0.08 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro+ 5G 8GB/256GB Aurora Purple RU	45 999	46 999			Xiaomi	Синий	Январь 2024 г.	Китай	205 г	6.67 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Dimensity 7200 Ultra 2.80 ГГц	16 Mpix	Три модуля (200 + 8 + 2 Mpix)
Смартфон realme C61 6/128, Green RU	9 999	11 499	5.0	5	realme	Зеленый	Июль 2024 г.	Китай	187 г	6.74 ''	IPS	90 Гц	128 ГБ	6 ГБ	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	5 Mpix	50 Mpix
Смартфон TECNO Spark 20 8/256GB Белый RU	13 999	14 999	3.0	1	TECNO	Белый	Декабрь 2023 г.	Китай	190 г	6.56 ''	IPS	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон Samsung Galaxy Z Fold6 256GB Серый EAC	189 999				Samsung	Серый	Июль 2024 г.	Вьетнам	239 г	7.6 ''	Dynamic AMOLED 2X		256 ГБ	12 ГБ	4400	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10 Mpix	Три модуля (50 + 12 + 10 Mpix)
Смартфон TECNO Camon 19 Pro 128GB Полярный синий RU	13 999		5.0	12	TECNO	Синий	Июль 2022 г.	Китай	205 г	6.8 ''	Full HD+		128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G96 2.00 ГГц	32 Mpix	Три модуля (64 + 50 + 2 Mpix)
Смартфон Xiaomi Redmi 12 8/256GB Polar Silver RU	12 999		4.8	5	Xiaomi	Серебристый	Июнь 2023 г.	Китай	199 г	6.79 ''	Full HD+		256 ГБ	8 ГБ	5000	8-ядерный MediaTek HelioG88 2.00 ГГц	8 Mpix	Три модуля (50 + 8 + 2 Mpix)
Смартфон Xiaomi Redmi A3x 3/64GB Aurora Green RU	6 999				Xiaomi	Зеленый	Июнь 2024 г.	Китай	199 г	6.78 ''	IPS	90 Гц	64 ГБ	3 ГБ	5000	8-ядерный Unisoc T603 1.80 ГГц	5 Mpix	8 Mpix
Смартфон TECNO Pova 4 Pro 256GB Оранжевый RU	15 999		4.8	25	TECNO	Оранжевый	Ноябрь 2022 г.	Китай	213.5 г	6.7 ''	AMOLED		256 ГБ	8 ГБ	6000	8-ядерный MediaTek Helio G99 2.20 ГГц	8 Mpix	Два модуля (50 + 2 Mpix)
Смартфон Infinix HOT 40 8/256 Синий RU	14 999	16 999			Infinix	Синий	Декабрь 2023 г.	Китай	197 г	6.78 ''	IPS	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32 Mpix	Три модуля (50 + 2 + 0.20 Mpix)
Смартфон TECNO Spark 20 8/256GB Синий RU	13 999	14 999	3.0	1	TECNO	Синий	Декабрь 2023 г.	Китай	190 г	6.56 ''	IPS	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон realme C65 8/256GB Black RU	16 999	19 999	5.0	4	realme	Черный		Китай	185 г	6.67 ''	IPS		256 ГБ	8 ГБ	4880	8-ядерный MediaTek 685 G85, 2.00 ГГц	8 Mpix	Два модуля (50 Mpix)
Смартфон HONOR X8 128GB Титановый серебристый RU	13 999		4.8	25	HONOR	Серебристый	Апрель 2022 г.	Китай	177 г	6.7 ''	LTPS		128 ГБ	6 ГБ	4000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16 Mpix	Четыре модуля (64 + 5 + 2 + 2 Mpix)
Смартфон Infinix Smart 8 Pro 4/64GB Черный RU	7 999				Infinix	Черный	Февраль 2024 г.	Китай	184 г	6.56 ''	HD Plus IPS	90 Гц	64 ГБ	4 ГБ	5000	8-ядерный MediaTek G36 2.20 ГГц	8 Mpix	Два модуля (50 + 0.80 Mpix)
Смартфон Samsung Galaxy Z Fold6 1TB Серый EAC	229 999				Samsung	Серый	Июль 2024 г.	Вьетнам	239 г	7.6 ''	Dynamic AMOLED 2X		1 TБ	12 ГБ	4400	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10 Mpix	Три модуля (50 + 12 + 10 Mpix)
Смартфон HONOR X7a 128GB Синий океан EAC	9 499		5.0	2	HONOR	Синий	Март 2023 г.	Китай	196 г	6.74 ''	LCD		128 ГБ	4 ГБ	5330	8-ядерный MediaTek 6765H 2.30 ГГц	8 Mpix	Четыре модуля (50 + 5 + 2 + 2 Mpix)
Смартфон Infinix HOT 30 8/128 Белый RU	10 499	17 990	5.0	4	Infinix	Белый	Август 2023 г.	Китай	196 г	6.78 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	8 Mpix	Два модуля (50 + 0.30 Mpix)
Смартфон Poco M6 Pro 12GB/512GB Purple RU	25 999	29 999			Poco	Фиолетовый	Июнь 2021 г.	Китай	180 г	6.67 ''	AMOLED		512 ГБ	12 ГБ	5000	8-ядерный MediaTek MediaTek Helio G99 Ultra 2.30 ГГц	16 Mpix	Три модуля (64 + 2 + 16 Mpix)
Смартфон realme 9i 128GB Черный RU	10 999		4.9	12	realme	Черный	Февраль 2022 г.	Китай	192 г	6.6 ''	Full HD+		128 ГБ	4 ГБ	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16 Mpix	Три модуля (50 + 2 + 2 Mpix)
Смартфон Samsung Galaxy A55 8/128GB Лавандовый EAC	37 999	41 999	4.5	2	Samsung	Фиолетовый	Март 2024 г.		213 г	6.6 ''	Super AMOLED	120 Гц	128 ГБ	8 ГБ	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32 Mpix	Три модуля (50 + 12 + 5 Mpix)
Смартфон TECNO POP 7 64GB Небесно-голубой RU	6 499				TECNO	Голубой	Июнь 2023 г.	Китай	187 г	6.6 ''	TN	60 Гц	64 ГБ	2 ГБ	5000	8-ядерный Unisoc SC9863A1 1.60 ГГц	5 Mpix	Два модуля (13 + 13 Mpix)
Смартфон HONOR X9a 8/256GB Изумрудно-зеленый EAC	26 999		5.0	10	HONOR	Зеленый	Июль 2023 г.	Китай	175 г	6.67 ''	OLED		256 ГБ	8 ГБ	5100	8-ядерный Qualcomm Snapdragon 695 2.20 ГГц	16 Mpix	Три модуля (64 + 5 + 2 Mpix)
Смартфон Samsung Galaxy A54 128GB Желтый для других стран	28 999		5.0	3	Samsung	Желтый	Март 2023 г.	Вьетнам	202 г	6.4 ''	Super AMOLED	120 Гц	128 ГБ	6 ГБ	5000	8-ядерный Samsung Exynos 1380 2.40 ГГц	32 Mpix	Три модуля (50 + 12 + 5 Mpix)
Смартфон HONOR 90 512GB Изумрудно-зеленый EAC	42 999	45 999	4.5	10	HONOR	Зеленый		Китай	183 г	6.7 ''	AMOLED	120 Гц	512 ГБ	12 ГБ	5000	8-ядерный Qualcomm Snapdragon 7 Gen 1 2.50 ГГц	50 Mpix	Три модуля (200 + 12 + 2 Mpix)
Смартфон HONOR X9a 6/128GB Изумрудно-зеленый RU	24 999		5.0	10	HONOR	Зеленый	Февраль 2023 г.	Китай	175 г	6.67 ''	OLED		128 ГБ	6 ГБ	5100	8-ядерный Qualcomm Snapdragon 695 2.20 ГГц	16 Mpix	Три модуля (64 + 5 + 2 Mpix)
Смартфон TECNO Spark 10C 4/64GB Зеленый RU	8 499	9 990	5.0	3	TECNO	Зеленый	Апрель 2023 г.	Китай	192 г	6.56 ''	IPS	90 Гц	64 ГБ	4 ГБ	5000	8-ядерный Unisoc T606 1.60 ГГц	8 Mpix	Два модуля (16 + 0.08 Mpix)
Смартфон Infinix Smart 8 Pro 4/256GB, золотой	11 999	13 999			Infinix	Золотистый		Китай	184 г	6.56 ''	HD Plus IPS	90 Гц	256 ГБ	4 ГБ	5000	8-ядерный MediaTek G36 2.20 ГГц	8 Mpix	Два модуля (50 + 0.80 Mpix)
Смартфон Samsung Galaxy S23 Ultra 512GB Светло-розовый EAC					Samsung	Розовый	Февраль 2023 г.	Вьетнам	234 г	6.8 ''	Dynamic AMOLED 2X		512 ГБ	12 ГБ	5000	8-ядерный Qualcomm Snapdragon 8 Gen 2 2.80 ГГц	12 Mpix	Четыре модуля (200 + 12 + 10 + 10 Mpix)
Смартфон TECNO Spark 20 8/128GB Золотистый RU	12 499	13 999	3.0	1	TECNO	Золотистый	Январь 2024 г.	Китай	190 г	6.56 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон Poco C65 256GB Blue RU	11 999	15 999	5.0	1	Poco	Синий	Декабрь 2023 г.	Китай	192 г	6.74 ''	IPS		256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	8 Mpix	Два модуля (50 + 2 Mpix)
Смартфон HONOR 200 Pro 12/512GB Белый EAC	64 999	74 999			HONOR	Белый	Июль 2024 г.	Китай		6.78 ''	AMOLED	90 Гц	512 ГБ	12 ГБ	5200	8-ядерный Qualcomm Snapdragon 8s Gen3 3.00 ГГц	50 Mpix	Три модуля (50 + 50 + 12 Mpix)
Смартфон Xiaomi Redmi A3 3/64GB Star Blue RU	6 999		5.0	1	Xiaomi	Голубой	Февраль 2024 г.	Китай	199 г	6.71 ''	IPS		64 ГБ	3 ГБ	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	5 Mpix	8 Mpix
Смартфон Xiaomi Redmi 12 8/256GB Midnight Black RU	12 999		4.8	5	Xiaomi	Черный	Июнь 2023 г.	Китай	199 г	6.79 ''	Full HD+		256 ГБ	8 ГБ	5000	8-ядерный MediaTek HelioG88 2.00 ГГц	8 Mpix	Три модуля (50 + 8 + 2 Mpix)
Смартфон Samsung Galaxy Z Flip6 256GB Голубой EAC	119 999				Samsung	Голубой	Июль 2024 г.	Вьетнам	187 г	6.7 ''	Dynamic AMOLED 2X		256 ГБ	12 ГБ	4000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10 Mpix	Два модуля (50 + 12 Mpix)
Смартфон Infinix Note 40 Pro 8/256ГБ, золотой RU	25 999	29 999			Infinix	Золотистый	Апрель 2024 г.	Китай	192 г	6.78 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	32 Mpix	Три модуля (108 + 2 + 2 Mpix)
Смартфон realme 12 8/256GB, Skyline Blue RU	21 999	25 999	5.0	12	realme	Синий	Июнь 2024 г.	Китай	187 г	6.67 ''	Full HD Plus AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16 Mpix	Два модуля (50 + 2 Mpix)
Смартфон TECNO Spark 20 Pro 8/256GB Зеленый RU	16 999	19 999	5.0	1	TECNO	Зеленый	Январь 2024 г.	Китай	206 г	6.8 ''	IPS	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	32 Mpix	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон realme 11 8/128GB Золотистый RU	14 999	26 999	5.0	24	realme	Золотистый	Октябрь 2023 г.	Китай	178 г	6.43 ''	Full HD Plus AMOLED		128 ГБ	8 ГБ	5000	8-ядерный MediaTek G99 2.20 ГГц	16 Mpix	Два модуля (108 + 2 Mpix)
Смартфон Infinix HOT 40 Pro 8/256 Черный RU	16 999	19 999			Infinix	Черный	Февраль 2024 г.	Китай	202 г	6.78 ''	Full HD+	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	32 Mpix	Два модуля (108 + 2 Mpix)
Смартфон HONOR X7a Plus 6/128GB Черный EAC	17 999	19 999			HONOR	Черный	Июль 2023 г.	Китай	196 г	6.74 ''	LCD		128 ГБ	6 ГБ	6000	8-ядерный MediaTek 6765H 2.30 ГГц	8 Mpix	Четыре модуля (50 + 5 + 2 + 2 Mpix)
Смартфон realme 12 8/256GB, Pioneer Green RU	21 999	25 999	5.0	12	realme	Зеленый	Июнь 2024 г.	Китай	187 г	6.67 ''	Full HD Plus AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16 Mpix	Два модуля (50 + 2 Mpix)
Смартфон Poco X6 5G 8/256GB Blue RU	27 999	31 999			Poco	Синий	Январь	Китай	181 г	6.67 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный Qualcomm Snapdragon 7s Gen 2 7s Gen2 2.40 ГГц	16 Mpix	Три модуля (64 + 8 + 2 Mpix)
Смартфон Samsung Galaxy S24 8/256GB Черный EAC	82 999		5.0	3	Samsung	Черный	Январь 2024 г.		168 г	6.2 ''	Dynamic AMOLED 2X	120 Гц	256 ГБ	8 ГБ	4000	8-ядерный Exynos 2400 3.30 ГГц	12 Mpix	Три модуля (50 + 12 + 10 Mpix)
Смартфон TECNO Spark 20 8/128GB Черный RU	12 499	13 999	3.0	1	TECNO	Черный	Декабрь 2023 г.	Китай	190 г	6.56 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон Infinix Note 30i 8/256 Черный RU	14 999	21 999	5.0	1	Infinix	Черный	Июль 2023 г.	Китай	198 г	6.67 ''	AMOLED	60 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	16 Mpix	Два модуля (64 + 0.80 Mpix)
Смартфон realme C61 8/128, Green RU	11 999	13 999	5.0	5	realme	Зеленый	Июль 2024 г.	Китай	187 г	6.74 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	5 Mpix	50 Mpix
Смартфон Samsung Galaxy A25 6/128GB Темно-синий EAC	23 999				Samsung	Черный	Январь 2024 г.		197 г	6.5 ''	Super AMOLED	90 Гц	128 ГБ	6 ГБ	5000	8-ядерный Exynos Exynos 1280 2.40 ГГц	13 Mpix	Три модуля (50 + 8 + 2 Mpix)
Смартфон realme 11 8/256GB Черный RU	16 999	29 999	5.0	24	realme	Черный	Октябрь 2023 г.	Китай	178 г	6.43 ''	Full HD Plus AMOLED		256 ГБ	8 ГБ	5000	8-ядерный MediaTek G99 2.20 ГГц	16 Mpix	Два модуля (108 + 2 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro+ 5G 12GB/512GB Aurora Purple RU	50 999	51 999			Xiaomi	Синий	Январь 2024 г.	Китай	205 г	6.67 ''	AMOLED	120 Гц	512 ГБ	12 ГБ	5000	8-ядерный MediaTek Dimensity 7200 Ultra 2.80 ГГц	16 Mpix	Три модуля (200 + 8 + 2 Mpix)
Смартфон Infinix HOT 30i 4/64 Черный RU	8 499	8 999	3.8	6	Infinix	Черный	Июль 2023 г.	Китай	191 г	6.56 ''	IPS	90 Гц	64 ГБ	4 ГБ	5000	8-ядерный Unisoc T606 1.60 ГГц	8 Mpix	Два модуля (13 + 0.30 Mpix)
Смартфон Infinix Note 30 Pro 8/256 GB Черный RU	21 999	23 999	4.4	7	Infinix	Черный	Июль 2023 г.	Китай	203 г	6.67 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	32 Mpix	Три модуля (108 + 2 + 2 Mpix)
Смартфон HONOR X6 64GB Полночный черный EAC	13 999		5.0	1	HONOR	Черный		Китай	194 г	6.5 ''	IPS		64 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G25 2.00 ГГц	5 Mpix	Три модуля (50 + 2 + 2 Mpix)
Смартфон TECNO Spark 20C 4/256GB Черный RU	11 999	13 490	5.0	2	TECNO	Зеленый	Декабрь 2023 г.	Китай	189 г	6.56 ''	IPS	90 Гц	256 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон realme 12 Pro 12/512GB Бежевый RU	39 999	44 999	5.0	20	realme	Бежевый	Февраль 2024 г.	Китай	190 г	6.7 ''	AMOLED		512 ГБ	12 ГБ	5000	8-ядерный Qualcomm Snapdragon 6 Gen1 2.60 ГГц	16 Mpix	Три модуля (50 + 32 + 32 Mpix)
Смартфон realme C51 4/64GB Черный RU	7 499		5.0	6	realme		Октябрь 2023 г.	Китай	186 г	6.74 ''	IPS		64 ГБ	4 ГБ	5000	8-ядерный Unisoc T612 UMS9230H, 1.80 ГГц	5 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон realme C51 4/128GB Черный RU	9 999	14 990	5.0	6	realme		Октябрь 2023 г.	Китай	186 г	6.74 ''	IPS		128 ГБ	4 ГБ	5000	8-ядерный Unisoc T612 UMS9230H, 1.80 ГГц	5 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон realme 12+ 5G 8/256GB Green RU	27 999	29 999	5.0	7	realme	Зеленый	Май 2024 г.	Китай	190 г	6.67 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Dimensity 7050 2.60 ГГц	16 Mpix	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy S24+ 12/512GB Фиолетовый EAC	105 999		5.0	3	Samsung	Фиолетовый	Январь 2024 г.		197 г	6.7 ''	Dynamic AMOLED 2X	120 Гц	512 ГБ	12 ГБ	4900	10-ядерный Exynos 2400 3.30 ГГц	12 Mpix	Три модуля (50 + 12 + 10 Mpix)
Смартфон TECNO Spark 10C 4/128GB Черный RU	9 499	10 999	5.0	3	TECNO	Черный	Апрель 2023 г.	Китай	192 г	6.56 ''	IPS	90 Гц	128 ГБ	4 ГБ	5000	8-ядерный Unisoc T606 1.60 ГГц	8 Mpix	Два модуля (16 + 0.08 Mpix)
Смартфон Samsung Galaxy A55 8/256GB Лавандовый EAC	42 999	45 999	4.5	2	Samsung	Фиолетовый	Март 2024 г.		213 г	6.6 ''	Super AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32 Mpix	Три модуля (50 + 12 + 5 Mpix)
Смартфон TECNO Spark 20C 8/128GB Gold RU	10 999	11 990	5.0	2	TECNO	Золотистый	Март 2024 г.	Китай	189 г	6.56 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон realme 10 8/128GB Черный RU	21 999		5.0	1	realme	Черный	Октябрь 2022 г.	Китай	178.5 г	6.4 ''	AMOLED		128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16 Mpix	Два модуля (50 + 2 Mpix)
Смартфон TECNO Spark Go 2024 4/64GB Черный RU	7 999	9 990	5.0	2	TECNO	Черный	Декабрь 2023 г.	Китай	195 г	6.6 ''	IPS		64 ГБ	4 ГБ	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	8 Mpix	Два модуля (13 + 2 Mpix)
Смартфон HONOR X7b 8/128GB Зеленый EAC	15 999	17 999	4.9	20	HONOR	Зеленый	Июнь 2024 г.	Китай	199 г	6.8 ''	TFT LCD	90 Гц	128 ГБ	8 ГБ	6000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8 Mpix	Три модуля (108 + 5 + 2 Mpix)
Смартфон Google Pixel 8 Pro 12/128GB Black EAC	114 999				Google	Черный	Июль 2023 г.	Китай	213 г	6.7 ''	OLED		128 ГБ	8 ГБ	5050	8-ядерный Google Tensor G3	10 Mpix	Три модуля (50 + 48 + 48 Mpix)
Смартфон HONOR X8b 8/128GB Зеленый EAC	19 999	22 999	5.0	23	HONOR	Зеленый	Июнь 2024 г.	Китай	166 г	6.7 ''	AMOLED		128 ГБ	8 ГБ	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	50 Mpix	Три модуля (108 + 5 + 2 Mpix)
Смартфон Samsung Galaxy A05s 64GB Серебристый EAC	12 499				Samsung	Серебристый	Ноябрь 2023 г.	Китай	195 г	6.7 ''	PLS LCD	60 Гц	64 ГБ	4 ГБ	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	13 Mpix	Три модуля (50 + 2 + 2 Mpix + 3D ToF)
Смартфон Infinix Smart 8 4/128GB Золотистый RU	8 499	11 999	5.0	2	Infinix	Золотистый	Ноябрь 2023 г.	Китай	184 г	6.56 ''	HD Plus IPS	60 Гц	128 ГБ	4 ГБ	5000	8-ядерный Unisoc T606 2.20 ГГц	8 Mpix	Два модуля (13 + 0.30 Mpix)
Смартфон TECNO Spark 20C 4/256GB Белый RU	11 999	13 490	5.0	2	TECNO	Белый	Декабрь 2023 г.	Китай	189 г	6.56 ''	IPS	90 Гц	256 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон realme 12+ 5G 8/256GB Beige RU	27 999	29 999	5.0	7	realme	Бежевый	Май 2024 г.	Китай	190 г	6.67 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Dimensity 7050 2.60 ГГц	16 Mpix	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy S23 128GB Зеленый EAC	66 499		5.0	2	Samsung	Зеленый	Февраль 2023 г.		168 г	6.1 ''	Dynamic AMOLED 2X		128 ГБ	8 ГБ	3900	8-ядерный Qualcomm Snapdragon 8 Gen 2 Mobile 2.80 ГГц	12 Mpix	Три модуля (50 + 12 + 10 Mpix)
Смартфон Samsung Galaxy A25 6/128GB Голубой EAC	23 999				Samsung	Голубой	Январь 2024 г.		197 г	6.5 ''	Super AMOLED	90 Гц	128 ГБ	6 ГБ	5000	8-ядерный Exynos Exynos 1280 2.40 ГГц	13 Mpix	Три модуля (50 + 8 + 2 Mpix)
