model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон Infinix Note 40 Pro 8/256ГБ, зеленый RU	25999	29999			Infinix	Зеленый	2024-04	Китай	192	6.78	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	32	Три модуля (108 + 2 + 2 Mpix)
Смартфон HONOR 200 8/256GB Зелёный EAC	39999	54999			HONOR	Зеленый	2024-07	Китай	166	6.7	AMOLED	90	256	8	5200	8-ядерный Qualcomm Snapdragon 7 Gen 3 2.63 ГГц	50	Три модуля (50 + 50 + 12 Mpix)
Смартфон Xiaomi Redmi 13 8/256GB, Black RU	17999	19999			Xiaomi	Черный	2024-06	Китай	205	6.79	IPS LCD	90	256	8	5030	8-ядерный MediaTek Helio G91 Ultra 2.00 ГГц	13	Два модуля (108 + 2 Mpix)
Смартфон Samsung Galaxy A55 8/128GB Желтый EAC	37999	41999	4.5	2	Samsung	Желтый	2024-03		213	6.6	Super AMOLED	120	128	8	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32	Три модуля (50 + 12 + 5 Mpix)
Смартфон Samsung Galaxy Z Flip6 256GB Желтый EAC	119999				Samsung	Желтый	2024-07	Вьетнам	187	6.7	Dynamic AMOLED 2X		256	12	4000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Два модуля (50 + 12 Mpix)
Смартфон HONOR X6 64GB Титановый серебристый EAC	13999		5	1	HONOR	Серебристый		Китай	194	6.5	IPS		64	4	5000	8-ядерный MediaTek Helio G25 2.00 ГГц	5	Три модуля (50 + 2 + 2 Mpix)
Смартфон Samsung Galaxy S24+ 12/256GB Фиолетовый EAC	92999		5	3	Samsung	Фиолетовый	2024-01		197	6.7	Dynamic AMOLED 2X	120	256	12	4900	10-ядерный Exynos 2400 3.30 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон Xiaomi 14 256GB Зеленый RU	84999	99999			Xiaomi	Зеленый	2024-02	Китай	188	6.36	AMOLED	90	256	12	4610	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	32	Два модуля (50 + 50 Mpix + 3D ToF)
Смартфон Xiaomi Redmi 12C 128GB Графитовый серый RU	9999		5	2	Xiaomi	Темно-серый	2023-03	Китай	192	6.71	IPS		128	4	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	5	50 Mpix
Смартфон Xiaomi 13T Pro 12/256GB Meadow Green RU	64999				Xiaomi	Зеленый	2023-09	Китай	197	6.67	AMOLED	144	256	12	5000	8-ядерный MediaTek Dimensity 9200+ 3.20 ГГц	20	Три модуля (50 + 50 + 12 Mpix)
Смартфон Infinix Zero 30 8/256 Зеленый RU	21999	28999			Infinix	Зеленый	2024-02	Китай	182	6.78	AMOLED	90	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	50	Два модуля (108 + 2 Mpix)
Смартфон Poco M6 Pro 8GB/256GB Blue RU	20999	24999			Poco	Синий	2021-06	Китай	180	6.67	AMOLED		256	8	5000	8-ядерный MediaTek MediaTek Helio G99 Ultra 2.30 ГГц	16	Три модуля (64 + 2 + 16 Mpix)
Смартфон TECNO Camon 30 Pro 5G 12/512GB Snowy Silver RU	39999	47999			TECNO	Серебристый	2024-04	Китай	194	6.7	AMOLED	144	512	12	5000	8-ядерный MediaTek Dimensity 8200 Ultimate 5G 3.00 ГГц	50	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy A14 64GB Серебристый RU	12199				Samsung	Серебристый	2023-03		201	6.6	PLS TFT LCD		64	4	5000	8-ядерный Exynos 850 2.00 ГГц	13	Четыре модуля (50 + 5 + 2 + 2 Mpix + 3D ToF)
