model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон Samsung Galaxy Z Fold6 1TB Серый EAC	229999				Samsung	Серый	2024-07	Вьетнам	239	7.6	Dynamic AMOLED 2X		1	12	4400	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Три модуля (50 + 12 + 10 Mpix)
Смартфон HONOR X7a 128GB Синий океан EAC	9499		5	2	HONOR	Синий	2023-03	Китай	196	6.74	LCD		128	4	5330	8-ядерный MediaTek 6765H 2.30 ГГц	8	Четыре модуля (50 + 5 + 2 + 2 Mpix)
Смартфон Infinix HOT 30 8/128 Белый RU	10499	17990	5	4	Infinix	Белый	2023-08	Китай	196	6.78	IPS	90	128	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	8	Два модуля (50 + 0.30 Mpix)
Смартфон Poco M6 Pro 12GB/512GB Purple RU	25999	29999			Poco	Фиолетовый	2021-06	Китай	180	6.67	AMOLED		512	12	5000	8-ядерный MediaTek MediaTek Helio G99 Ultra 2.30 ГГц	16	Три модуля (64 + 2 + 16 Mpix)
Смартфон realme 9i 128GB Черный RU	10999		4.9	12	realme	Черный	2022-02	Китай	192	6.6	Full HD+		128	4	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16	Три модуля (50 + 2 + 2 Mpix)
Смартфон Samsung Galaxy A55 8/128GB Лавандовый EAC	37999	41999	4.5	2	Samsung	Фиолетовый	2024-03		213	6.6	Super AMOLED	120	128	8	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32	Три модуля (50 + 12 + 5 Mpix)
Смартфон TECNO POP 7 64GB Небесно-голубой RU	6499				TECNO	Голубой	2023-06	Китай	187	6.6	TN	60	64	2	5000	8-ядерный Unisoc SC9863A1 1.60 ГГц	5	Два модуля (13 + 13 Mpix)
Смартфон HONOR X9a 8/256GB Изумрудно-зеленый EAC	26999		5	10	HONOR	Зеленый	2023-07	Китай	175	6.67	OLED		256	8	5100	8-ядерный Qualcomm Snapdragon 695 2.20 ГГц	16	Три модуля (64 + 5 + 2 Mpix)
Смартфон Samsung Galaxy A54 128GB Желтый для других стран	28999		5	3	Samsung	Желтый	2023-03	Вьетнам	202	6.4	Super AMOLED	120	128	6	5000	8-ядерный Samsung Exynos 1380 2.40 ГГц	32	Три модуля (50 + 12 + 5 Mpix)
Смартфон HONOR 90 512GB Изумрудно-зеленый EAC	42999	45999	4.5	10	HONOR	Зеленый		Китай	183	6.7	AMOLED	120	512	12	5000	8-ядерный Qualcomm Snapdragon 7 Gen 1 2.50 ГГц	50	Три модуля (200 + 12 + 2 Mpix)
Смартфон HONOR X9a 6/128GB Изумрудно-зеленый RU	24999		5	10	HONOR	Зеленый	2023-02	Китай	175	6.67	OLED		128	6	5100	8-ядерный Qualcomm Snapdragon 695 2.20 ГГц	16	Три модуля (64 + 5 + 2 Mpix)
Смартфон TECNO Spark 10C 4/64GB Зеленый RU	8499	9990	5	3	TECNO	Зеленый	2023-04	Китай	192	6.56	IPS	90	64	4	5000	8-ядерный Unisoc T606 1.60 ГГц	8	Два модуля (16 + 0.08 Mpix)
Смартфон Infinix Smart 8 Pro 4/256GB, золотой	11999	13999			Infinix	Золотистый		Китай	184	6.56	HD Plus IPS	90	256	4	5000	8-ядерный MediaTek G36 2.20 ГГц	8	Два модуля (50 + 0.80 Mpix)
Смартфон Samsung Galaxy S23 Ultra 512GB Светло-розовый EAC					Samsung	Розовый	2023-02	Вьетнам	234	6.8	Dynamic AMOLED 2X		512	12	5000	8-ядерный Qualcomm Snapdragon 8 Gen 2 2.80 ГГц	12	Четыре модуля (200 + 12 + 10 + 10 Mpix)
Смартфон TECNO Spark 20 8/128GB Золотистый RU	12499	13999	3	1	TECNO	Золотистый	2024-01	Китай	190	6.56	IPS	90	128	8	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
Смартфон Poco C65 256GB Blue RU	11999	15999	5	1	Poco	Синий	2023-12	Китай	192	6.74	IPS		256	8	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	8	Два модуля (50 + 2 Mpix)
Смартфон HONOR 200 Pro 12/512GB Белый EAC	64999	74999			HONOR	Белый	2024-07	Китай		6.78	AMOLED	90	512	12	5200	8-ядерный Qualcomm Snapdragon 8s Gen3 3.00 ГГц	50	Три модуля (50 + 50 + 12 Mpix)
Смартфон Xiaomi Redmi A3 3/64GB Star Blue RU	6999		5	1	Xiaomi	Голубой	2024-02	Китай	199	6.71	IPS		64	3	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	5	8 Mpix
Смартфон Xiaomi Redmi 12 8/256GB Midnight Black RU	12999		4.8	5	Xiaomi	Черный	2023-06	Китай	199	6.79	Full HD+		256	8	5000	8-ядерный MediaTek HelioG88 2.00 ГГц	8	Три модуля (50 + 8 + 2 Mpix)
Смартфон Samsung Galaxy Z Flip6 256GB Голубой EAC	119999				Samsung	Голубой	2024-07	Вьетнам	187	6.7	Dynamic AMOLED 2X		256	12	4000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Два модуля (50 + 12 Mpix)
Смартфон Infinix Note 40 Pro 8/256ГБ, золотой RU	25999	29999			Infinix	Золотистый	2024-04	Китай	192	6.78	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	32	Три модуля (108 + 2 + 2 Mpix)
Смартфон realme 12 8/256GB, Skyline Blue RU	21999	25999	5	12	realme	Синий	2024-06	Китай	187	6.67	Full HD Plus AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16	Два модуля (50 + 2 Mpix)
Смартфон TECNO Spark 20 Pro 8/256GB Зеленый RU	16999	19999	5	1	TECNO	Зеленый	2024-01	Китай	206	6.8	IPS	120	256	8	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон realme 11 8/128GB Золотистый RU	14999	26999	5	24	realme	Золотистый	2023-10	Китай	178	6.43	Full HD Plus AMOLED		128	8	5000	8-ядерный MediaTek G99 2.20 ГГц	16	Два модуля (108 + 2 Mpix)
Смартфон Infinix HOT 40 Pro 8/256 Черный RU	16999	19999			Infinix	Черный	2024-02	Китай	202	6.78	Full HD+	90	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	32	Два модуля (108 + 2 Mpix)
Смартфон HONOR X7a Plus 6/128GB Черный EAC	17999	19999			HONOR	Черный	2023-07	Китай	196	6.74	LCD		128	6	6000	8-ядерный MediaTek 6765H 2.30 ГГц	8	Четыре модуля (50 + 5 + 2 + 2 Mpix)
Смартфон realme 12 8/256GB, Pioneer Green RU	21999	25999	5	12	realme	Зеленый	2024-06	Китай	187	6.67	Full HD Plus AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16	Два модуля (50 + 2 Mpix)
Смартфон Poco X6 5G 8/256GB Blue RU	27999	31999			Poco	Синий		Китай	181	6.67	AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 7s Gen 2 7s Gen2 2.40 ГГц	16	Три модуля (64 + 8 + 2 Mpix)
Смартфон Samsung Galaxy S24 8/256GB Черный EAC	82999		5	3	Samsung	Черный	2024-01		168	6.2	Dynamic AMOLED 2X	120	256	8	4000	8-ядерный Exynos 2400 3.30 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон TECNO Spark 20 8/128GB Черный RU	12499	13999	3	1	TECNO	Черный	2023-12	Китай	190	6.56	IPS	90	128	8	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
Смартфон Infinix Note 30i 8/256 Черный RU	14999	21999	5	1	Infinix	Черный	2023-07	Китай	198	6.67	AMOLED	60	256	8	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	16	Два модуля (64 + 0.80 Mpix)
Смартфон realme C61 8/128, Green RU	11999	13999	5	5	realme	Зеленый	2024-07	Китай	187	6.74	IPS	90	128	8	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	5	50 Mpix
Смартфон Samsung Galaxy A25 6/128GB Темно-синий EAC	23999				Samsung	Черный	2024-01		197	6.5	Super AMOLED	90	128	6	5000	8-ядерный Exynos Exynos 1280 2.40 ГГц	13	Три модуля (50 + 8 + 2 Mpix)
Смартфон realme 11 8/256GB Черный RU	16999	29999	5	24	realme	Черный	2023-10	Китай	178	6.43	Full HD Plus AMOLED		256	8	5000	8-ядерный MediaTek G99 2.20 ГГц	16	Два модуля (108 + 2 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro+ 5G 12GB/512GB Aurora Purple RU	50999	51999			Xiaomi	Синий	2024-01	Китай	205	6.67	AMOLED	120	512	12	5000	8-ядерный MediaTek Dimensity 7200 Ultra 2.80 ГГц	16	Три модуля (200 + 8 + 2 Mpix)
Смартфон Infinix HOT 30i 4/64 Черный RU	8499	8999	3.8	6	Infinix	Черный	2023-07	Китай	191	6.56	IPS	90	64	4	5000	8-ядерный Unisoc T606 1.60 ГГц	8	Два модуля (13 + 0.30 Mpix)
Смартфон Infinix Note 30 Pro 8/256 GB Черный RU	21999	23999	4.4	7	Infinix	Черный	2023-07	Китай	203	6.67	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	32	Три модуля (108 + 2 + 2 Mpix)
Смартфон HONOR X6 64GB Полночный черный EAC	13999		5	1	HONOR	Черный		Китай	194	6.5	IPS		64	4	5000	8-ядерный MediaTek Helio G25 2.00 ГГц	5	Три модуля (50 + 2 + 2 Mpix)
Смартфон TECNO Spark 20C 4/256GB Черный RU	11999	13490	5	2	TECNO	Зеленый	2023-12	Китай	189	6.56	IPS	90	256	4	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон realme 12 Pro 12/512GB Бежевый RU	39999	44999	5	20	realme	Бежевый	2024-02	Китай	190	6.7	AMOLED		512	12	5000	8-ядерный Qualcomm Snapdragon 6 Gen1 2.60 ГГц	16	Три модуля (50 + 32 + 32 Mpix)
Смартфон realme C51 4/64GB Черный RU	7499		5	6	realme		2023-10	Китай	186	6.74	IPS		64	4	5000	8-ядерный Unisoc T612 UMS9230H, 1.80 ГГц	5	Два модуля (50 + 0.08 Mpix)
Смартфон realme C51 4/128GB Черный RU	9999	14990	5	6	realme		2023-10	Китай	186	6.74	IPS		128	4	5000	8-ядерный Unisoc T612 UMS9230H, 1.80 ГГц	5	Два модуля (50 + 0.08 Mpix)
Смартфон realme 12+ 5G 8/256GB Green RU	27999	29999	5	7	realme	Зеленый	2024-05	Китай	190	6.67	AMOLED	120	256	8	5000	8-ядерный MediaTek Dimensity 7050 2.60 ГГц	16	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy S24+ 12/512GB Фиолетовый EAC	105999		5	3	Samsung	Фиолетовый	2024-01		197	6.7	Dynamic AMOLED 2X	120	512	12	4900	10-ядерный Exynos 2400 3.30 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон TECNO Spark 10C 4/128GB Черный RU	9499	10999	5	3	TECNO	Черный	2023-04	Китай	192	6.56	IPS	90	128	4	5000	8-ядерный Unisoc T606 1.60 ГГц	8	Два модуля (16 + 0.08 Mpix)
Смартфон Samsung Galaxy A55 8/256GB Лавандовый EAC	42999	45999	4.5	2	Samsung	Фиолетовый	2024-03		213	6.6	Super AMOLED	120	256	8	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32	Три модуля (50 + 12 + 5 Mpix)
Смартфон TECNO Spark 20C 8/128GB Gold RU	10999	11990	5	2	TECNO	Золотистый	2024-03	Китай	189	6.56	IPS	90	128	8	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон realme 10 8/128GB Черный RU	21999		5	1	realme	Черный	2022-10	Китай	178.5	6.4	AMOLED		128	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16	Два модуля (50 + 2 Mpix)
Смартфон TECNO Spark Go 2024 4/64GB Черный RU	7999	9990	5	2	TECNO	Черный	2023-12	Китай	195	6.6	IPS		64	4	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	8	Два модуля (13 + 2 Mpix)
Смартфон HONOR X7b 8/128GB Зеленый EAC	15999	17999	4.9	20	HONOR	Зеленый	2024-06	Китай	199	6.8	TFT LCD	90	128	8	6000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8	Три модуля (108 + 5 + 2 Mpix)
Смартфон Google Pixel 8 Pro 12/128GB Black EAC	114999				Google	Черный	2023-07	Китай	213	6.7	OLED		128	8	5050	8-ядерный Google Tensor G3	10	Три модуля (50 + 48 + 48 Mpix)
Смартфон HONOR X8b 8/128GB Зеленый EAC	19999	22999	5	23	HONOR	Зеленый	2024-06	Китай	166	6.7	AMOLED		128	8	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	50	Три модуля (108 + 5 + 2 Mpix)
Смартфон Samsung Galaxy A05s 64GB Серебристый EAC	12499				Samsung	Серебристый	2023-11	Китай	195	6.7	PLS LCD	60	64	4	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	13	Три модуля (50 + 2 + 2 Mpix + 3D ToF)
Смартфон Infinix Smart 8 4/128GB Золотистый RU	8499	11999	5	2	Infinix	Золотистый	2023-11	Китай	184	6.56	HD Plus IPS	60	128	4	5000	8-ядерный Unisoc T606 2.20 ГГц	8	Два модуля (13 + 0.30 Mpix)
Смартфон TECNO Spark 20C 4/256GB Белый RU	11999	13490	5	2	TECNO	Белый	2023-12	Китай	189	6.56	IPS	90	256	4	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон realme 12+ 5G 8/256GB Beige RU	27999	29999	5	7	realme	Бежевый	2024-05	Китай	190	6.67	AMOLED	120	256	8	5000	8-ядерный MediaTek Dimensity 7050 2.60 ГГц	16	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy S23 128GB Зеленый EAC	66499		5	2	Samsung	Зеленый	2023-02		168	6.1	Dynamic AMOLED 2X		128	8	3900	8-ядерный Qualcomm Snapdragon 8 Gen 2 Mobile 2.80 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон Samsung Galaxy A25 6/128GB Голубой EAC	23999				Samsung	Голубой	2024-01		197	6.5	Super AMOLED	90	128	6	5000	8-ядерный Exynos Exynos 1280 2.40 ГГц	13	Три модуля (50 + 8 + 2 Mpix)
Смартфон TECNO Spark 20 Pro 8/256GB Золотистый RU	16999	19999	5	1	TECNO	Золотистый	2023-12	Китай	206	6.8	IPS	120	256	8	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон TECNO Spark 20 8/128GB Синий RU	12499	13999	3	1	TECNO	Синий	2023-12	Китай	190	6.56	IPS	90	128	8	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
Смартфон HUAWEI nova 10 SE 256GB Зеленый EAC	17999		4.8	8	HUAWEI	Зеленый	2024-01	Китай	184	6.67	OLED		256	8	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16	Три модуля (108 + 8 + 2 Mpix)
Смартфон Xiaomi 14 Ultra 512GB Black RU	134999	149999	5	1	Xiaomi	Черный	2024-03	Китай	227	6.73	AMOLED	120	512	16	5000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.20 ГГц	32	Четыре модуля (50 + 50 + 50 + 50 Mpix)
Смартфон Xiaomi Redmi A3 4/128GB Midnight Black RU	8999		5	1	Xiaomi	Черный	2024-02	Китай	199	6.71	IPS		128	4	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	5	8 Mpix
Смартфон Samsung Galaxy S24 Ultra 12/1TB Черный Титан EAC	159999		5	3	Samsung	Черный	2024-01		168	6.8	Dynamic AMOLED 2X	120	1	12	5000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	12	Четыре модуля (200 + 50 + 12 + 10 Mpix)
Смартфон HONOR X7b 8/128GB Черный EAC	15999	17999	4.9	20	HONOR	Черный	2024-06	Китай	199	6.8	TFT LCD	90	128	8	6000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8	Три модуля (108 + 5 + 2 Mpix)
Смартфон Infinix Smart 7 Plus 3/64GB Зеленый RU	6999				Infinix	Зеленый	2023-07	Китай	207	6.6	IPS	60	64	3	6000	8-ядерный Unisoc Spreadtrum SC9863A 2.00 ГГц	8	Два модуля (13 + 0.08 Mpix)
Смартфон Samsung Galaxy S23 Ultra 12/256GB Черный EAC	95499				Samsung	Черный	2023-02	Вьетнам	234	6.8	Dynamic AMOLED 2X		256	12	5000	8-ядерный Qualcomm Snapdragon 8 Gen 2 2.80 ГГц	12	Четыре модуля (200 + 12 + 10 + 10 Mpix)
Смартфон HONOR X7a 128GB Мерцающий серебристый EAC	9499		5	2	HONOR	Серебристый	2023-03	Китай	196	6.74	LCD		128	4	5330	8-ядерный MediaTek 6765H 2.30 ГГц	8	Четыре модуля (50 + 5 + 2 + 2 Mpix)
Смартфон Samsung Galaxy A55 8/128GB Голубой EAC	37999	41999	4.5	2	Samsung	Голубой	2024-03		213	6.6	Super AMOLED	120	128	8	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32	Три модуля (50 + 12 + 5 Mpix)
Смартфон Samsung Galaxy Z Flip6 256GB Серый EAC	119999				Samsung	Серый	2024-07	Вьетнам	187	6.7	Dynamic AMOLED 2X		256	12	4000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Два модуля (50 + 12 Mpix)
Смартфон Infinix HOT 40i 8/256 Черный RU	12999	15999	3.5	2	Infinix	Черный	2024-02	Китай	190	6.56	IPS	90	256	8	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	32	Два модуля (50 + 0.20 Mpix)
Смартфон TECNO Camon 30S Pro 8/256GB, Interstellar Grey	25999	27999			TECNO	Темно-серый	2024-10	Китай	181.5	6.78	Full HD Plus AMOLED	120	256	8	5000	8-ядерный MediaTek Mediatek Helio G100 2.20 ГГц	50	50 Mpix
Смартфон Itel A70 4/256GB Gold RU	8499		5	1	Itel	Золотистый	2024-02	Китай	195	6.6	IPS		256	4	5000	8-ядерный Unisoc T603 1.60 ГГц	8	Два модуля (13 + 0.08 Mpix)
Смартфон Samsung Galaxy A14 64GB Черный RU	12199				Samsung	Черный	2023-03		201	6.6	PLS TFT LCD		64	4	5000	8-ядерный Exynos 850 2.00 ГГц	13	Четыре модуля (50 + 5 + 2 + 2 Mpix + 3D ToF)
Смартфон Xiaomi Redmi Note 12 4/128GB Ice Blue RU	11999	19990	3.3	3	Xiaomi	Синий	2023-03	Китай	186	6.67	AMOLED	120	128	4	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	13	Три модуля (50 + 8 + 2 Mpix)
Смартфон TECNO Spark 10 Pro 256GB Белый RU	14999	16990	5	7	TECNO	Белый	2023-05	Китай	205	6.78	IPS	90	256	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
Смартфон TECNO Camon 30 8/256GB Черный RU	20999	25999			TECNO	Черный	2024-04	Китай	197.5	6.8	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	50	Два модуля (50 + 2 Mpix)
Смартфон TECNO Camon 19 Pro 128GB Эко-черный RU	13999		5	12	TECNO	Черный	2022-07	Китай	205	6.8	Full HD+		128	8	5000	8-ядерный MediaTek Helio G96 2.00 ГГц	32	Три модуля (64 + 50 + 2 Mpix)
Смартфон HONOR 200 Lite 8/256GB Океанический голубой EAC	24999	26999			HONOR	Синий	2024-06	Китай	166	6.7	AMOLED	90	256	8	4500	8-ядерный MediaTek Dimensity 6080 2.40 ГГц	50	Три модуля (108 + 5 + 2 Mpix)
Смартфон HONOR X8b 8/256GB Зеленый EAC	22999	25999	5	23	HONOR	Зеленый	2024-06	Китай	166	6.7	AMOLED		256	8	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	50	Три модуля (108 + 5 + 2 Mpix)
Смартфон realme 10 8/256GB Черный RU	12499		5	1	realme	Черный	2022-10	Китай	178.5	6.4	AMOLED		256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16	Два модуля (50 + 2 Mpix)
Смартфон HUAWEI nova 10 SE 128GB Зеленый RU	13999		4.8	8	HUAWEI	Зеленый	2023-03	Китай	184	6.67	OLED		128	8	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16	Три модуля (108 + 8 + 2 Mpix)
Смартфон TECNO Spark 20 Pro 8/256GB Белый RU	16999	19999	5	1	TECNO	Белый	2024-02	Китай	206	6.8	IPS	120	256	8	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон TECNO Camon 20 Pro 256GB Голубая фиалка RU	17999	23999	5	7	TECNO	Голубой	2023-06	Китай	185	6.7	AMOLED		256	8	5000	8-ядерный MediaTek HELIO G99 2.20 ГГц	32	Два модуля (64 + 2 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro+ 5G 12GB/512GB Midnight Black RU	50999	51999			Xiaomi	Черный	2024-02	Китай	205	6.67	AMOLED	120	512	12	5000	8-ядерный MediaTek Dimensity 7200 Ultra 2.80 ГГц	16	Три модуля (200 + 8 + 2 Mpix)
Смартфон Samsung Galaxy Z Fold6 512GB Розовый EAC	199999				Samsung	Розовый	2024-07	Вьетнам	239	7.6	Dynamic AMOLED 2X		512	12	4400	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Три модуля (50 + 12 + 10 Mpix)
Смартфон TECNO Camon 30 8/256GB Sand Brown RU	20999	25999			TECNO		2024-04	Китай	197.5	6.8	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	50	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy A34 128GB Серебристый EAC	23499		5	3	Samsung	Серебристый	2023-03		199	6.6	Super AMOLED	120	128	6	5000	8-ядерный Samsung Dimensity 1080 2.60 ГГц	13	Три модуля (48 + 8 + 5 Mpix)
Смартфон Google Pixel 8 Pro 12/128GB Beige EAC	114999				Google	Бежевый	2024-01	Китай	213	6.7	OLED		128	12	5050	8-ядерный Google Tensor G3	10	Три модуля (50 + 48 + 48 Mpix)
Смартфон TECNO Spark Go 1 4/128GB, Glittery White RU	9999	10999			TECNO	Белый	2024-10	Китай	195	6.67	IPS	120	128	4	5000	8-ядерный Unisoc T615 1.80 ГГц	8	13 Mpix
Смартфон Infinix Note 30 8/256 Черный RU	15999	23999	5	3	Infinix	Черный	2023-07	Китай	219	6.78	IPS	120	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16	Три модуля (64 + 2 + 0.30 Mpix)
Смартфон Samsung Galaxy A55 8/256GB Темно-синий EAC	42999	45999	4.5	2	Samsung	Черный	2024-03		213	6.6	Super AMOLED	120	256	8	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32	Три модуля (50 + 12 + 5 Mpix)
Смартфон Samsung Galaxy S24 Ultra 12/256GB Серый Титан EAC	116999		5	3	Samsung	Серый	2024-01		168	6.8	Dynamic AMOLED 2X	120	256	12	5000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	12	Четыре модуля (200 + 50 + 12 + 10 Mpix)
Смартфон realme C55 128GB Перламутровый RU	11999	16999	5	54	realme	Серебристый	2023-04	Китай	189.5	6.72	Full HD IPS		128	6	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	8	Два модуля (64 + 2 Mpix)
Смартфон Samsung Galaxy S24 8/256GB Желтый EAC	82999		5	3	Samsung	Желтый	2024-01		168	6.2	Dynamic AMOLED 2X	120	256	8	4000	8-ядерный Exynos 2400 3.30 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон Infinix HOT 30i 4/64 Белый RU	8499	8999	3.8	6	Infinix	Белый	2023-07	Китай	191	6.56	IPS	90	64	4	5000	8-ядерный Unisoc T606 1.60 ГГц	8	Два модуля (13 + 0.30 Mpix)
Смартфон HUAWEI nova Y91 128GB Сияющий черный EAC	14999		5	1	HUAWEI	Черный	2024-02	Китай	214	6.95	IPS		128	8	7000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8	Два модуля (50 + 2 Mpix)
Смартфон HONOR X9b 8/256GB Черный EAC	28999	32990	5	8	HONOR	Черный	2024-06	Китай	185	6.78	AMOLED		256	8	5800	8-ядерный Qualcomm Snapdragon Qualcomm Snapdragon 6 Gen 1 Adreno A710 2.20 ГГц	16	Три модуля (108 + 5 + 2 Mpix)
Смартфон HONOR X8a 128GB Титановый серебристый RU	16999	24999	5	5	HONOR	Серебристый	2023-02	Китай	179	6.7	IPS		128	6	4500	8-ядерный MediaTek Helio G88 2.00 ГГц	16	Три модуля (100 + 5 + 2 Mpix)
Смартфон Infinix HOT 40 Pro 8/256 Синий RU	16999	19999			Infinix	Синий	2024-02	Китай	202	6.78	Full HD+	90	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	32	Два модуля (108 + 2 Mpix)
Смартфон realme C35 128GB Зеленый RU	8499		5	5	realme	Светло-зеленый	2022-06	Китай	189	6.6	LCD		128	4	5000	8-ядерный Unisoc T616 2.00 ГГц	8	Три модуля (50 + 2 + 0.30 Mpix)
Смартфон TECNO Pova 6 Pro 5G 12/256GB Зеленый RU	26999	29999	5	3	TECNO	Зеленый	2024-03	Китай	195	6.8	Full HD Plus AMOLED	120	256	12	6000	8-ядерный MediaTek Dimensity 6080 5G 2.40 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон TECNO Camon 20 Pro 5G 256GB Черный небосвод RU	24999	29999	5	5	TECNO	Черный	2023-06	Китай	194	6.7	AMOLED		256	8	5000	8-ядерный MediaTek Dimensity 8050 3.00 ГГц	32	Три модуля (64 + 2 + 2 Mpix)
Смартфон Google Pixel 8 Pro 12/128GB Blue EAC	114999				Google	Синий	2024-01	Китай	213	6.7	OLED		128	12	5050	8-ядерный Google Tensor G3	10	Три модуля (50 + 48 + 48 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro 8GB/256GB Lavender Purple RU	29999	34999			Xiaomi	Фиолетовый	2024-02	Китай	187	6.67	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultra 2.20 ГГц	16	Три модуля (200 + 8 + 2 Mpix)
Смартфон TECNO Spark 10 4/128GB Белый RU	9999	11999	4.8	11	TECNO	Белый	2023-04	Китай	188	6.56	IPS	90	128	4	5000	8-ядерный MediaTek Helio G37 2.30 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон Samsung Galaxy A05s 64GB Черный EAC	12499				Samsung	Черный	2023-11	Китай	195	6.7	PLS LCD	60	64	4	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	13	Три модуля (50 + 2 + 2 Mpix + 3D ToF)
Смартфон HONOR X8a 128GB Небесно-голубой RU	16999	24999	5	5	HONOR	Голубой	2023-02	Китай	179	6.7	IPS		128	6	4500	8-ядерный MediaTek Helio G88 2.00 ГГц	16	Три модуля (100 + 5 + 2 Mpix)
